codigo_fator,codigo_ocorrencia,fator,aspecto,condicionante,area,detalhe_fator,dia_extracao
10786,23019,"POUCA EXPERIÊNCIA DO PILOTO",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10779,23019,ATITUDE,PSICOLÓGICO,INDIVIDUAL,HUMANO,,2015-06-19
10784,23019,"JULGAMENTO DE PILOTAGEM",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10782,23019,"APLICAÇÃO DE COMANDOS",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10780,23019,"ESTADO EMOCIONAL",PSICOLÓGICO,INDIVIDUAL,HUMANO,,2015-06-19
10785,23019,"MANUTENÇÃO DE AERONAVE",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10778,23019,FADIGA,MÉDICO,***,HUMANO,,2015-06-19
10783,23019,INSTRUÇÃO,OPERACIONAL,***,OPERACIONAL,,2015-06-19
10771,22959,"SUPERVISÃO GERENCIAL",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10769,22959,"CONDIÇÕES METEOROLÓGICAS ADVERSAS",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10816,23539,"SUPERVISÃO GERENCIAL",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10772,22959,"JULGAMENTO DE PILOTAGEM",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10770,22959,"APLICAÇÃO DE COMANDOS",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10817,23539,"MANUTENÇÃO DE AERONAVE",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10773,22959,"PLANEJAMENTO DE VOO",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10776,22999,"INDISCIPLINA DE VOO",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10774,22999,"CONDIÇÕES METEOROLÓGICAS ADVERSAS",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10777,22999,"OUTRO FATOR",***,***,***,"OUTROS ASPECTOS OPERACIONAIS",2015-06-19
10775,22999,"INFRAESTRUTURA AEROPORTUÁRIA",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10796,23439,"JULGAMENTO DE PILOTAGEM",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10794,23439,"APLICAÇÃO DE COMANDOS",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10799,23439,INSTRUÇÃO,OPERACIONAL,***,OPERACIONAL,,2015-06-19
10797,23439,"POUCA EXPERIÊNCIA DO PILOTO",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10795,23439,"SUPERVISÃO GERENCIAL",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10800,23439,"INDISCIPLINA DE VOO",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10798,23439,"PLANEJAMENTO DE VOO",OPERACIONAL,***,OPERACIONAL,,2015-06-19
14642,22939,"CONDIÇÕES METEOROLÓGICAS ADVERSAS",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10767,22939,"INFRAESTRUTURA AEROPORTUÁRIA",OPERACIONAL,***,OPERACIONAL,,2015-06-19
14619,23199,"SOBRECARGA DE TAREFAS",MÉDICO,***,HUMANO,,2015-06-19
10791,23199,"INDISCIPLINA DE VOO",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10789,23199,"CONDIÇÕES METEOROLÓGICAS ADVERSAS",OPERACIONAL,***,OPERACIONAL,,2015-06-19
14620,23199,MOTIVAÇÃO,PSICOLÓGICO,INDIVIDUAL,HUMANO,,2015-06-19
10790,23199,"JULGAMENTO DE PILOTAGEM",OPERACIONAL,***,OPERACIONAL,,2015-06-19
14621,23199,"SUPERVISÃO GERENCIAL",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10872,24823,"INFLUÊNCIA DO MEIO AMBIENTE",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10875,24823,"INDISCIPLINA DE VOO",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10873,24823,"SUPERVISÃO GERENCIAL",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10874,24823,INSTRUÇÃO,OPERACIONAL,***,OPERACIONAL,,2015-06-19
10894,24879,"MANUTENÇÃO DE AERONAVE",OPERACIONAL,***,OPERACIONAL,,2015-06-19
11548,29956,"COORDENAÇÃO DE CABINE",OPERACIONAL,***,OPERACIONAL,,2015-06-19
11551,29956,"INDISCIPLINA DE VOO",OPERACIONAL,***,OPERACIONAL,,2015-06-19
11549,29956,"SUPERVISÃO GERENCIAL",OPERACIONAL,***,OPERACIONAL,,2015-06-19
11550,29956,"ESQUECIMENTO DO PILOTO",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10968,25419,INSTRUÇÃO,OPERACIONAL,***,OPERACIONAL,,2015-06-19
10966,25419,"SUPERVISÃO GERENCIAL",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10969,25419,"INDISCIPLINA DE VOO",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10967,25419,"JULGAMENTO DE PILOTAGEM",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10965,25419,"APLICAÇÃO DE COMANDOS",OPERACIONAL,***,OPERACIONAL,,2015-06-19
11416,29160,"JULGAMENTO DE PILOTAGEM",OPERACIONAL,***,OPERACIONAL,,2015-06-19
11415,29160,"CONDIÇÕES METEOROLÓGICAS ADVERSAS",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10818,23639,"SUPERVISÃO GERENCIAL",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10792,23359,"SUPERVISÃO GERENCIAL",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10793,23359,"MANUTENÇÃO DE AERONAVE",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10808,23499,"JULGAMENTO DE PILOTAGEM",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10806,23499,"INFRAESTRUTURA AEROPORTUÁRIA",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10804,23499,"APLICAÇÃO DE COMANDOS",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10809,23499,"MANUTENÇÃO DE AERONAVE",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10807,23499,INSTRUÇÃO,OPERACIONAL,***,OPERACIONAL,,2015-06-19
10805,23499,"COORDENAÇÃO DE CABINE",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10810,23499,"SUPERVISÃO GERENCIAL",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10813,23500,"POUCA EXPERIÊNCIA DO PILOTO",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10811,23500,"SUPERVISÃO GERENCIAL",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10814,23500,INSTRUÇÃO,OPERACIONAL,***,OPERACIONAL,,2015-06-19
10812,23500,"MANUTENÇÃO DE AERONAVE",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10815,23500,"OUTRO FATOR",***,***,***,"OUTROS ASPECTOS OPERACIONAIS",2015-06-19
10803,23460,"SUPERVISÃO GERENCIAL",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10801,23460,"INDISCIPLINA DE VOO",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10802,23460,"PLANEJAMENTO DE VOO",OPERACIONAL,***,OPERACIONAL,,2015-06-19
11553,29957,"JULGAMENTO DE PILOTAGEM",OPERACIONAL,***,OPERACIONAL,,2015-06-19
11554,29957,"PLANEJAMENTO DE VOO",OPERACIONAL,***,OPERACIONAL,,2015-06-19
11552,29957,"ESQUECIMENTO DO PILOTO",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10825,23800,"SUPERVISÃO GERENCIAL",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10826,23800,"MANUTENÇÃO DE AERONAVE",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10823,23759,"OUTRO FATOR",***,***,***,"OUTROS ASPECTOS OPERACIONAIS",2015-06-19
10821,23759,"JULGAMENTO DE PILOTAGEM",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10819,23759,"COORDENAÇÃO DE CABINE",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10822,23759,"PLANEJAMENTO DE VOO",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10820,23759,"SUPERVISÃO GERENCIAL",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10921,24939,"PLANEJAMENTO DE VOO",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10919,24939,"CONDIÇÕES METEOROLÓGICAS ADVERSAS",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10922,24939,"INDISCIPLINA DE VOO",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10920,24939,"JULGAMENTO DE PILOTAGEM",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10923,24939,"OUTRO FATOR",***,***,***,"OUTROS ASPECTOS OPERACIONAIS",2015-06-19
11210,27351,PROJETO,MATERIAL,***,MATERIAL,,2015-06-19
11130,26640,"COORDENAÇÃO DE CABINE",OPERACIONAL,***,OPERACIONAL,,2015-06-19
11133,26640,"MANUTENÇÃO DE AERONAVE",OPERACIONAL,***,OPERACIONAL,,2015-06-19
11131,26640,"SUPERVISÃO GERENCIAL",OPERACIONAL,***,OPERACIONAL,,2015-06-19
11129,26640,"INFRAESTRUTURA AEROPORTUÁRIA",OPERACIONAL,***,OPERACIONAL,,2015-06-19
11132,26640,"JULGAMENTO DE PILOTAGEM",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10877,24825,"APLICAÇÃO DE COMANDOS",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10880,24825,INSTRUÇÃO,OPERACIONAL,***,OPERACIONAL,,2015-06-19
10878,24825,"SUPERVISÃO GERENCIAL",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10876,24825,"INFLUÊNCIA DO MEIO AMBIENTE",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10881,24825,"OUTRO FATOR",***,***,***,"OUTROS ASPECTOS OPERACIONAIS",2015-06-19
10879,24825,"JULGAMENTO DE PILOTAGEM",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10863,24239,"OUTRO FATOR",***,***,***,"OUTROS ASPECTOS OPERACIONAIS",2015-06-19
10861,24239,"JULGAMENTO DE PILOTAGEM",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10862,24239,"PLANEJAMENTO DE VOO",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10844,24039,INSTRUÇÃO,OPERACIONAL,***,OPERACIONAL,,2015-06-19
10842,24039,"APLICAÇÃO DE COMANDOS",OPERACIONAL,***,OPERACIONAL,,2015-06-19
14622,24039,"SUPERVISÃO GERENCIAL",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10843,24039,"COORDENAÇÃO DE CABINE",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10841,24019,"INFRAESTRUTURA AEROPORTUÁRIA",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10832,23959,"POUCA EXPERIÊNCIA DO PILOTO",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10830,23959,"SUPERVISÃO GERENCIAL",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10833,23959,"PLANEJAMENTO DE VOO",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10831,23959,"JULGAMENTO DE PILOTAGEM",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10834,23959,"INDISCIPLINA DE VOO",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10850,24139,"COORDENAÇÃO DE CABINE",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10848,24139,"APLICAÇÃO DE COMANDOS",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10853,24139,"OUTRO FATOR",***,***,***,"OUTROS ASPECTOS OPERACIONAIS",2015-06-19
10846,24139,"INFLUÊNCIA DO MEIO AMBIENTE",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10851,24139,"SUPERVISÃO GERENCIAL",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10849,24139,"INFRAESTRUTURA AEROPORTUÁRIA",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10847,24139,"CONDIÇÕES METEOROLÓGICAS ADVERSAS",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10852,24139,"JULGAMENTO DE PILOTAGEM",OPERACIONAL,***,OPERACIONAL,,2015-06-19
11087,26262,PROJETO,MATERIAL,***,MATERIAL,,2015-06-19
10839,23979,"INDISCIPLINA DE VOO",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10837,23979,"PLANEJAMENTO DE VOO",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10835,23979,"CONDIÇÕES METEOROLÓGICAS ADVERSAS",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10840,23979,"OUTRO FATOR",***,***,***,,2015-06-19
10838,23979,"SUPERVISÃO GERENCIAL",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10836,23979,"JULGAMENTO DE PILOTAGEM",OPERACIONAL,***,OPERACIONAL,,2015-06-19
11700,30835,"PLANEJAMENTO DE VOO",OPERACIONAL,***,OPERACIONAL,,2015-06-19
11698,30835,"PESSOAL DE APOIO",OPERACIONAL,***,OPERACIONAL,,2015-06-19
11699,30835,"JULGAMENTO DE PILOTAGEM",OPERACIONAL,***,OPERACIONAL,,2015-06-19
11697,30835,"APLICAÇÃO DE COMANDOS",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10897,24887,"OUTRO FATOR",***,***,***,"OUTROS ASPECTOS OPERACIONAIS",2015-06-19
10895,24887,"SUPERVISÃO GERENCIAL",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10896,24887,"MANUTENÇÃO DE AERONAVE",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10906,24919,"COORDENAÇÃO DE CABINE",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10911,24921,"MANUSEIO DO MATERIAL",MATERIAL,***,MATERIAL,,2015-06-19
10916,24921,"PLANEJAMENTO DE VOO",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10904,24919,PROJETO,MATERIAL,***,MATERIAL,,2015-06-19
10909,24919,INSTRUÇÃO,OPERACIONAL,***,OPERACIONAL,,2015-06-19
10914,24921,"JULGAMENTO DE PILOTAGEM",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10907,24919,"SUPERVISÃO GERENCIAL",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10912,24921,FABRICAÇÃO,MATERIAL,***,MATERIAL,,2015-06-19
10917,24921,"INDISCIPLINA DE VOO",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10905,24919,"APLICAÇÃO DE COMANDOS",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10910,24919,"OUTRO FATOR",***,***,***,"OUTROS ASPECTOS OPERACIONAIS",2015-06-19
10915,24921,"MANUTENÇÃO DE AERONAVE",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10908,24919,"JULGAMENTO DE PILOTAGEM",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10913,24921,PROJETO,MATERIAL,***,MATERIAL,,2015-06-19
10918,24921,"OUTRO FATOR",***,***,***,"OUTROS ASPECTOS OPERACIONAIS",2015-06-19
10855,24201,"COORDENAÇÃO DE CABINE",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10860,24201,"INDISCIPLINA DE VOO",OPERACIONAL,***,OPERACIONAL,,2015-06-19
14647,24201,"OUTRO FATOR",***,***,***,"ASPECTO PSICOLÓGICO",2015-06-19
10858,24201,"PLANEJAMENTO DE VOO",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10856,24201,"SUPERVISÃO GERENCIAL",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10854,24201,"CONDIÇÕES METEOROLÓGICAS ADVERSAS",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10859,24201,INSTRUÇÃO,OPERACIONAL,***,OPERACIONAL,,2015-06-19
10857,24201,"JULGAMENTO DE PILOTAGEM",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10924,25062,"PESSOAL DE APOIO",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10925,25062,"SUPERVISÃO GERENCIAL",OPERACIONAL,***,OPERACIONAL,,2015-06-19
11091,26319,"JULGAMENTO DE PILOTAGEM",OPERACIONAL,***,OPERACIONAL,,2015-06-19
11089,26319,"INFRAESTRUTURA AEROPORTUÁRIA",OPERACIONAL,***,OPERACIONAL,,2015-06-19
11092,26319,"POUCA EXPERIÊNCIA DO PILOTO",OPERACIONAL,***,OPERACIONAL,,2015-06-19
11090,26319,"SUPERVISÃO GERENCIAL",OPERACIONAL,***,OPERACIONAL,,2015-06-19
11088,26319,"APLICAÇÃO DE COMANDOS",OPERACIONAL,***,OPERACIONAL,,2015-06-19
11093,26319,INSTRUÇÃO,OPERACIONAL,***,OPERACIONAL,,2015-06-19
10899,24899,"ESTADO EMOCIONAL",PSICOLÓGICO,INDIVIDUAL,HUMANO,,2015-06-19
10902,24899,"APLICAÇÃO DE COMANDOS",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10900,24899,MOTIVAÇÃO,PSICOLÓGICO,INDIVIDUAL,HUMANO,,2015-06-19
10898,24899,ATITUDE,PSICOLÓGICO,INDIVIDUAL,HUMANO,,2015-06-19
10903,24899,"JULGAMENTO DE PILOTAGEM",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10901,24899,"CULTURA DO GRUPO DE TRABALHO",PSICOLÓGICO,PSICOSOCIAL,HUMANO,,2015-06-19
11468,29575,"APLICAÇÃO DE COMANDOS",OPERACIONAL,***,OPERACIONAL,,2015-06-19
11469,29575,"JULGAMENTO DE PILOTAGEM",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10889,24864,"OUTRO FATOR",***,***,***,"OUTROS ASPECTOS OPERACIONAIS",2015-06-19
10887,24864,"COORDENAÇÃO DE CABINE",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10888,24864,"ESQUECIMENTO DO PILOTO",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10892,24865,"SUPERVISÃO GERENCIAL",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10890,24865,"COORDENAÇÃO DE CABINE",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10893,24865,"OUTRO FATOR",***,***,***,,2015-06-19
10891,24865,INSTRUÇÃO,OPERACIONAL,***,OPERACIONAL,,2015-06-19
11086,26260,"JULGAMENTO DE PILOTAGEM",OPERACIONAL,***,OPERACIONAL,,2015-06-19
11084,26260,"APLICAÇÃO DE COMANDOS",OPERACIONAL,***,OPERACIONAL,,2015-06-19
11085,26260,"INFRAESTRUTURA AEROPORTUÁRIA",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10935,25179,"JULGAMENTO DE PILOTAGEM",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10936,25179,"PLANEJAMENTO DE VOO",OPERACIONAL,***,OPERACIONAL,,2015-06-19
11043,26039,"PLANEJAMENTO DE VOO",OPERACIONAL,***,OPERACIONAL,,2015-06-19
11044,26039,"INDISCIPLINA DE VOO",OPERACIONAL,***,OPERACIONAL,,2015-06-19
11042,26039,"POUCA EXPERIÊNCIA DO PILOTO",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10975,25559,"SUPERVISÃO GERENCIAL",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10978,25559,"PLANEJAMENTO DE VOO",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10976,25559,"JULGAMENTO DE PILOTAGEM",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10979,25559,"INDISCIPLINA DE VOO",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10977,25559,"MANUTENÇÃO DE AERONAVE",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10980,25560,"MANUTENÇÃO DE AERONAVE",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10981,25560,"SUPERVISÃO GERENCIAL",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10973,25539,"INDISCIPLINA DE VOO",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10971,25539,"APLICAÇÃO DE COMANDOS",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10974,25539,"OUTRO FATOR",***,***,***,"OUTROS ASPECTOS OPERACIONAIS",2015-06-19
10972,25539,"JULGAMENTO DE PILOTAGEM",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10970,25480,"INFRAESTRUTURA AEROPORTUÁRIA",OPERACIONAL,***,OPERACIONAL,"CERCA INEFICIENTE NÃO IMPEDINDO ACESSO DO ANIMAL",2015-06-19
10998,25601,"POUCA EXPERIÊNCIA DO PILOTO",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10996,25601,"CONDIÇÕES METEOROLÓGICAS ADVERSAS",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10997,25601,"JULGAMENTO DE PILOTAGEM",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10982,25561,"MANUTENÇÃO DE AERONAVE",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10985,25562,"SUPERVISÃO GERENCIAL",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10990,25563,"MANUTENÇÃO DE AERONAVE",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10983,25562,"INFRAESTRUTURA AEROPORTUÁRIA",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10988,25563,"APLICAÇÃO DE COMANDOS",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10986,25562,"JULGAMENTO DE PILOTAGEM",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10991,25563,INSTRUÇÃO,OPERACIONAL,***,OPERACIONAL,,2015-06-19
10984,25562,"PESSOAL DE APOIO",OPERACIONAL,***,OPERACIONAL,,2015-06-19
10989,25563,"JULGAMENTO DE PILOTAGEM",OPERACIONAL,***,OPERACIONAL,,2015-06-19
